%time,field.name0,field.name1,field.pose0.position.x,field.pose0.position.y,field.pose0.position.z,field.pose0.orientation.x,field.pose0.orientation.y,field.pose0.orientation.z,field.pose0.orientation.w,field.pose1.position.x,field.pose1.position.y,field.pose1.position.z,field.pose1.orientation.x,field.pose1.orientation.y,field.pose1.orientation.z,field.pose1.orientation.w,field.twist0.linear.x,field.twist0.linear.y,field.twist0.linear.z,field.twist0.angular.x,field.twist0.angular.y,field.twist0.angular.z,field.twist1.linear.x,field.twist1.linear.y,field.twist1.linear.z,field.twist1.angular.x,field.twist1.angular.y,field.twist1.angular.z
3696000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.69820277232e-12,4.25515178648e-12,0.00500000000582,5.24463297627e-13,-2.25769123615e-11,1.25042672119e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.85325305332e-11,-9.08490632372e-11,8.79872096364e-11,-9.74675675554e-11,-6.86996374403e-10,2.24946625199e-10
3697000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.64849253639e-12,4.31721325356e-12,0.00500000000573,5.50027532763e-13,-2.23381666583e-11,1.24282606023e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22684212992e-11,-4.86603261384e-11,5.10766304441e-11,-4.95025883664e-11,-3.72953155881e-10,1.20884331162e-10
3698000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.69392841368e-12,4.26604584991e-12,0.00500000000578,5.22407696117e-13,-2.25335198372e-11,1.2492233003e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3062534922e-10,-1.51505051523e-10,1.52571405695e-10,-1.59413225745e-10,-1.14716551292e-09,3.74484786213e-10
3699000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.69684274912e-12,4.26559482181e-12,0.00500000000578,5.19190606538e-13,-2.25352245835e-11,1.24935264721e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49006768835e-11,-9.82979644209e-11,1.02601236811e-10,-1.00991324463e-10,-7.48552932588e-10,2.43266000074e-10
3700000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6926516572e-12,4.2734565886e-12,0.00500000000576,5.206112212e-13,-2.25058736876e-11,1.24845120161e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55408187794e-11,-8.74173557134e-11,9.4455613712e-11,-8.78021510962e-11,-6.68562664766e-10,2.16417733255e-10
3701000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.66892064005e-12,4.30463303891e-12,0.00500000000571,5.30719933053e-13,-2.23843717244e-11,1.24466995668e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09748532695e-11,-4.72017834926e-11,5.8961857743e-11,-4.2265261908e-11,-3.68975005101e-10,1.17225510624e-10
3702000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.70547473313e-12,4.2640058151e-12,0.00500000000575,5.0893733095e-13,-2.25404005126e-11,1.24976413378e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17310625313e-10,-1.36052074257e-10,1.46439252111e-10,-1.37380083289e-10,-1.03765214669e-09,3.3632172191e-10
3703000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.70625188925e-12,4.26601809433e-12,0.00500000000574,5.07699716074e-13,-2.25336117132e-11,1.24958653453e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6052299256e-11,-8.80424633573e-11,1.01278866135e-10,-8.47029345886e-11,-6.77926872122e-10,2.1792036729e-10
3704000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.70114486334e-12,4.27498314526e-12,0.00500000000573,5.10299459089e-13,-2.25008940914e-11,1.2485495295e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77421562847e-11,-7.83814866534e-11,9.38570111879e-11,-7.31025877732e-11,-6.06765976026e-10,1.94082333303e-10
3705000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.69345656889e-12,4.28705682065e-12,0.0050000000057,5.1262980328e-13,-2.24541157345e-11,1.24712939799e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51944846385e-11,-4.05081167011e-11,6.01977442494e-11,-3.03652211269e-11,-3.24462482693e-10,1.00673611327e-10
